No	Unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	5	5-I-1	My Dreams for the Future	未来のための私の夢	(タイトル)			
2	5	5-I-2	Do you have any dreams for the future?	あなたは将来のための何か夢がありますか？	doの疑問文	any (疑問文)		
50	5	5-G-10	Did you know that around 50 percent of children don't go to junior high school in Sub-Saharan African countries?	サハラ以南のアフリカ諸国では約50パーセントの子どもたちが中学校に行かないことを知っていましたか？	Did you know that ~?	junior high school	
51	5	5-G-11	In this graph, you'll find the percentage of girls is more than that of boys.	このグラフでは、少女たちの割合が少年たちのそれよりも大きいことがわかります。	more than ~		
52	5	5-G-12	In some countries, the gap is more than 10 percent.	いくつかの国では、その差は10パーセント以上です。	more than ~		
53	5	5-G-13	Why don't many girls go to school?	なぜ多くの少女たちは学校に行かないのでしょうか？	Why don't ~?		
54	5	5-G-14	There are two reasons.	理由は2つあります。	There are ~		
55	5	5-G-15	Second, it's because of child marriage.	第二に、それは児童婚が原因です。	because of ~		
56	5	5-G-16	There are many girls who marry under the age of 18 in those countries.	それらの国々では18歳未満で結婚する少女たちがたくさんいます。	関係代名詞(主格)	under the age of ~	
57	5	5-G-17	Some girls marry under the age of 15!	15歳未満で結婚する少女たちもいます！	under the age of ~		
58	5	5-DL4-1	Our School Life in Bali	バリでの私たちの学校生活	(タイトル案)			
59	5	5-DL4-2	Our Campaign to Recycle Plastics in Bali	バリでプラスチックをリサイクルするための私たちのキャンペーン	(タイトル案)	to不定詞(形容詞的用法)	
60	5	5-DL4-3	Our Campaign Against Plastic Bags in Bali	バリでのレジ袋に反対する私たちのキャンペーン	(タイトル案)			
61	5	5-C-1	How much do you know about Korean culture?	あなたは韓国文化についてどのくらい知っていますか？	How much ~?		p.63
62	5	5-C-2	This is a cushion which people in Japan use on a tatami floor.	これは日本の人々が畳の上で使うクッションです。	関係代名詞(目的格)		p.63
63	5	5-C-3	It's called a zabuton.	それは座布団と呼ばれています。	受動態	call A B (受動態)	p.63
64	5	5-C-4	I recommend One Piece.	私は『ワンピース』をお勧めします。			p.65
65	5	5-C-5	It's the best comic book that I've ever read.	それは私が今までに読んだ中で最高の漫画です。	最上級	現在完了形(経験)	関係代名詞(目的格)	p.65
66	5	5-C-6	What's it about?	それは何についての話ですか？	be about ~		p.65
67	5	5-C-7	It's an adventure story about pirates that sail the sea and look for treasure.	それは海を航海し宝物を探す海賊についての冒険物語です。	関係代名詞(主格)	look for ~	p.65
68	5	5-C-8	Is there anything you want to try in the near future?	近い将来、何か試してみたいことはありますか？	後置修飾	want to do	p.67
69	5	5-C-9	I'd like to try studying Spanish.	私はスペイン語の勉強を試してみたいです。	I'd like to do	try -ing	p.67
70	5	5-C-10	I like watching Spanish-language movies, and I want to understand the words my favorite actors speak.	私はスペイン語の映画を見るのが好きで、私のお気に入りの俳優たちの言葉を理解したいです。	like -ing	want to do	後置修飾	p.67
